order_id,period,customer_segment,refund_requested
B01,before,returning,1
B02,before,returning,0
B03,before,returning,0
B04,before,returning,0
B05,before,returning,0
B06,before,returning,0
B07,before,returning,0
B08,before,returning,0
B09,before,returning,0
B10,before,returning,0
B11,before,returning,0
B12,before,returning,0
B13,before,returning,0
B14,before,returning,0
B15,before,returning,0
B16,before,returning,0
B17,before,new,1
B18,before,new,1
B19,before,new,0
B20,before,new,0
A01,after,returning,0
A02,after,returning,0
A03,after,returning,0
A04,after,returning,0
A05,after,new,0
A06,after,new,0
A07,after,new,0
A08,after,new,0
A09,after,new,0
A10,after,new,0
A11,after,new,0
A12,after,new,0
A13,after,new,1
A14,after,new,1
A15,after,new,1
A16,after,new,1
A17,after,new,1
A18,after,new,1
A19,after,new,1
A20,after,new,1
